"","WORD...PHRASE","description","INTRO.Unit...Lesson","REVIEWED"
"1","un","a (m)","1-1","2-1 ; 2-6"
"2","unhomme","a man","1-1","2-1 ; 2-6"
"3","ungarçon","a boy","1-1","2-1 ; 2-6"
"4","unchat","a cat","1-1","2-1 ; 2-6"
"5","et","and","1-1","2-1 ; 2-6"
"6","une","a (f)","1-1","2-1 ; 2-6"
"7","unefemme","a woman","1-1","2-1 ; 2-6"
"8","jesuis","I am être : to be","1-1","2-1 ; 2-6"
"9","unefille","a daughter","1-1","2-1 ; 2-6"
"10","je","I  pronoun","1-1","2-1 ; 2-6"
"11","unchien","a dog","1-1","2-1 ; 2-6"
"12","uncheval","a horse","1-1","2-1 ; 2-6"
"13","c'est","It is","1-1","2-1 ; 2-6"
"14","tu","you pronoun (familiar)","1-1","2-1 ; 2-6"
"15","tues","you are familiar être : to be","1-1","2-1 ; 2-6"
"16","uncroissant","a croissant","1-1","2-1 ; 2-6"
"17","unorange","an orange","1-1","2-1 ; 2-6"
"18","je / il / ellemange","I / he / she eat(s) manger","1-1","2-1 ; 2-6"
"19","tumanges","you eat manger  (familiar)","1-1","2-1 ; 2-6"
"20","unepizza","a pizza","1-1","2-1 ; 2-6"
"21","bonjour","Good morning","1-2","2-5 ; 3-5"
"22","ça va","How's it going  How are you?","1-2","2-5 ; 3-5"
"23","comment","how","1-2","2-5 ; 3-5"
"24","bien","good","1-2","2-5 ; 3-5"
"25","oui","yes","1-2","2-5 ; 3-5"
"26","bonsoir","Good evening","1-2","2-5 ; 3-5"
"27","merci","thanks","1-2","2-5 ; 3-5"
"28","salut","Hi !","1-2","2-5 ; 3-5"
"29","toi","you (familiar)","1-2","2-5 ; 3-5"
"30","très","very","1-2","2-5 ; 3-5"
"31","à bientôt","see you soon","1-2","2-5 ; 3-5"
"32","au revoir","Goodbye","1-2","2-5 ; 3-5"
"33","enchanté","delighted (m)","1-2","2-5 ; 3-5"
"34","bonne journée","Have a good day","1-2","2-5 ; 3-5"
"35","bienvenue","Welcome","1-2","2-5 ; 3-5"
"36","bonne nuit","Good night","1-2","2-5 ; 3-5"
"37","beaucoup","a lot","1-2","2-5 ; 3-5"
"38","bonne soirée","Have a good evening","1-2","2-5 ; 3-5"
"39","à demain","see you tomorrow","1-2","2-5 ; 3-5"
